group,model,varied_parameter,varied_value,a,b,tau,L,N,density,mean_velocity,std_velocity,nearby_empirical_mean_velocity
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,5,0.2890173410404624,1.214639400913926,0.06730599968017255,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,10,0.5780346820809248,1.207803439365241,0.04675730163002701,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,15,0.8670520231213873,1.1802024441369474,0.04682952762485136,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,20,1.1560693641618496,1.148216649180895,0.05263821721777418,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,21,1.2138728323699421,1.1098852542587858,0.05898527458169601,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,25,1.445086705202312,1.096639346699396,0.06217620840006785,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,30,1.7341040462427746,0.9510987284190094,0.07085428781819882,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,35,2.0231213872832368,0.8058443447511565,0.06474035809527057,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,40,2.312138728323699,0.6313555300406087,0.05030925928667465,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,45,2.6011560693641615,0.36730570923561806,0.03055953505160769,
A_b_sensitivity,HardBodyModel,b,0.0,0.36,0.0,0.61,17.3,48,2.7745664739884393,0.048174814576503,0.004340584414983133,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,5,0.2890173410404624,1.2047141968888355,0.05668920441698798,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,10,0.5780346820809248,1.225332807315463,0.05169562659603645,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,15,0.8670520231213873,1.1158344549533248,0.07593002826834064,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,20,1.1560693641618496,0.9378756042236355,0.07108982735161191,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,21,1.2138728323699421,0.9075113866739959,0.07920277715319664,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,25,1.445086705202312,0.6355301948712819,0.05646544329893314,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,30,1.7341040462427746,0.42046533559182325,0.036635292233463304,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,35,2.0231213872832368,0.2638461801800907,0.022907502172750418,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,40,2.312138728323699,0.14314691186399328,0.013134682589794649,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,45,2.6011560693641615,0.048209619646609164,0.004165116543830049,
A_b_sensitivity,HardBodyModel,b,0.25,0.36,0.25,0.61,17.3,48,2.7745664739884393,0.00031607744973384175,0.0001045133259006527,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,5,0.2890173410404624,1.2124782115884103,0.056187134533625255,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,10,0.5780346820809248,1.1504697789312348,0.08893400914165078,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,15,0.8670520231213873,0.818692100364109,0.07322067405548108,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,20,1.1560693641618496,0.48336373057695703,0.04680858932872647,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,21,1.2138728323699421,0.4422576690834914,0.04876422417200863,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,25,1.445086705202312,0.3089240579532245,0.032331783213862715,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,30,1.7341040462427746,0.19782521894979327,0.020104773388496366,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,35,2.0231213872832368,0.12137416360231285,0.011759296239293521,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,40,2.312138728323699,0.06475457460970821,0.005957937647174586,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,45,2.6011560693641615,0.02140240206157625,0.0018798536080016264,
A_b_sensitivity,HardBodyModel,b,0.56,0.36,0.56,0.61,17.3,48,2.7745664739884393,8.479901683107194e-05,8.479901683107195e-05,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,5,0.2890173410404624,1.220150775705167,0.041304054331607,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,10,0.5780346820809248,1.1028758563668748,0.08862322482061537,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,15,0.8670520231213873,0.5554790398790015,0.0667260883542644,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,20,1.1560693641618496,0.3359058120003388,0.040132317919728516,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,21,1.2138728323699421,0.3068463416882063,0.036855805654075924,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,25,1.445086705202312,0.215273756970586,0.023135186630310084,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,30,1.7341040462427746,0.13834005237516936,0.014835993594688157,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,35,2.0231213872832368,0.08479895767155626,0.008942097850404894,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,40,2.312138728323699,0.04518799286804817,0.004388902466566166,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,45,2.6011560693641615,0.014781066853099467,0.0013578185322086476,
A_b_sensitivity,HardBodyModel,b,0.8,0.36,0.8,0.61,17.3,48,2.7745664739884393,0.0,0.0,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,5,0.2890173410404624,1.1891154560623591,0.13270791257148903,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,10,0.5780346820809248,0.8112793114927055,0.10711903703706026,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,15,0.8670520231213873,0.4098221262661278,0.05329555517650677,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,20,1.1560693641618496,0.2514668976332379,0.03138184354976947,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,21,1.2138728323699421,0.229523749779608,0.030424904801630827,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,25,1.445086705202312,0.16156304749201625,0.01844395562260242,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,30,1.7341040462427746,0.10396178675237383,0.010919524831183155,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,35,2.0231213872832368,0.06368477857489253,0.006390922403096548,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,40,2.312138728323699,0.0339161533568357,0.0032410135631740504,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,45,2.6011560693641615,0.011002836763154673,0.0010194100063477373,
A_b_sensitivity,HardBodyModel,b,1.06,0.36,1.06,0.61,17.3,48,2.7745664739884393,4.235724965043203e-05,4.235724965043203e-05,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,5,0.2890173410404624,1.2199071948753626,0.04249196908706189,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,10,0.5780346820809248,0.6268917581225636,0.09481294692198941,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,15,0.8670520231213873,0.33023953810819057,0.04460474921868963,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,20,1.1560693641618496,0.20437579056657265,0.026905607963808573,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,21,1.2138728323699421,0.18635530786939866,0.02222896613158411,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,25,1.445086705202312,0.13113407749436123,0.015290379360810595,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,30,1.7341040462427746,0.084470537951368,0.008992448574917081,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,35,2.0231213872832368,0.05173348311350417,0.0053161650854022064,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,40,2.312138728323699,0.02753192031916418,0.002573096408726793,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,45,2.6011560693641615,0.008892601332891369,0.0008550658399401462,
A_b_sensitivity,HardBodyModel,b,1.3,0.36,1.3,0.61,17.3,48,2.7745664739884393,0.0,0.0,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,5,0.2890173410404624,1.2007692369912744,0.040765668313558934,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,10,0.5780346820809248,1.1875786797797785,0.049027870887797795,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,15,0.8670520231213873,0.9092256907321978,0.08443135709416741,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,20,1.1560693641618496,0.5509121880808029,0.057268933446862305,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,21,1.2138728323699421,0.5001399094889902,0.04078536841725207,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,25,1.445086705202312,0.36838513309224974,0.03287833972150334,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,30,1.7341040462427746,0.25562467160005775,0.02612611300637525,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,35,2.0231213872832368,0.17718466428368532,0.01758588126510959,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,40,2.312138728323699,0.119566051504726,0.010211806661229323,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,45,2.6011560693641615,0.07563619221081141,0.006475491403596268,
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,48,2.7745664739884393,0.053804958825347464,0.004615631133842717,
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,5,0.2890173410404624,1.2033915761749308,0.06879430034807198,
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,10,0.5780346820809248,1.157043958419573,0.06446048447107822,
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,15,0.8670520231213873,0.8207040482731318,0.07256263474732456,
