group,model,varied_parameter,varied_value,a,b,tau,L,N,density,mean_velocity,std_velocity
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,5,0.2890173410404624,1.2007692369912744,0.040765668313558934
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,10,0.5780346820809248,1.1875786797797785,0.049027870887797795
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,15,0.8670520231213873,0.9092256907321978,0.08443135709416741
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,20,1.1560693641618496,0.5509121880808029,0.057268933446862305
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,21,1.2138728323699421,0.5001399094889902,0.04078536841725207
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,25,1.445086705202312,0.36838513309224974,0.03287833972150334
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,30,1.7341040462427746,0.25562467160005775,0.02612611300637525
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,35,2.0231213872832368,0.17718466428368532,0.01758588126510959
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,40,2.312138728323699,0.119566051504726,0.010211806661229323
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,45,2.6011560693641615,0.07563619221081141,0.006475491403596268
B_a_sensitivity,HardBodyModel,a,0.3,0.3,0.56,0.61,17.3,48,2.7745664739884393,0.053804958825347464,0.004615631133842717
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,5,0.2890173410404624,1.2033915761749308,0.06879430034807198
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,10,0.5780346820809248,1.157043958419573,0.06446048447107822
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,15,0.8670520231213873,0.8207040482731318,0.07256263474732456
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,20,1.1560693641618496,0.4842513882425588,0.04700063612032423
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,21,1.2138728323699421,0.4426542123567219,0.0451276616328672
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,25,1.445086705202312,0.3086621643762096,0.03206336486048954
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,30,1.7341040462427746,0.19826925338152854,0.021441565555319047
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,35,2.0231213872832368,0.1212756964054945,0.011706151767206789
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,40,2.312138728323699,0.06477115019018108,0.006132906755247603
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,45,2.6011560693641615,0.021354904148429624,0.0020209367696510474
B_a_sensitivity,HardBodyModel,a,0.36,0.36,0.56,0.61,17.3,48,2.7745664739884393,0.00010732314319011583,0.00010732314319011584
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,5,0.2890173410404624,1.2196653262130006,0.054643065397864926
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,10,0.5780346820809248,1.2053509757563097,0.0588395823790246
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,15,0.8670520231213873,0.6958971822564423,0.07661006731010112
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,20,1.1560693641618496,0.39302380080573573,0.04655498563700541
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,21,1.2138728323699421,0.3500183507286236,0.042569833374534474
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,25,1.445086705202312,0.22206243316763893,0.025477029731669407
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,30,1.7341040462427746,0.11426777734635082,0.012198589182982436
B_a_sensitivity,HardBodyModel,a,0.45,0.45,0.56,0.61,17.3,35,2.0231213872832368,0.03921954122516104,0.004070197897875255
