group,model,a,b,tau,L,N,density,step,time_s,mean_velocity
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,0,0.0,0.0
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,500,0.5,0.5326236164706415
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,1000,1.0,0.5516901424582165
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,1500,1.5,0.5800567653284331
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,2000,2.0,0.5528483081065896
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,2500,2.5,0.5810420492314783
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,3000,3.0,0.5216858032296131
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,3500,3.5,0.5630659898756935
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,4000,4.0,0.49054293317916553
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,4500,4.5,0.4788245373493337
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,5000,5.0,0.46010949811182866
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,5500,5.5,0.5832162762867712
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,6000,6.0,0.5167853338462741
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,6500,6.5,0.5118728467169323
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,7000,7.0,0.5070949116568992
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,7500,7.5,0.5202661508989685
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,8000,8.0,0.459430513510528
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,8500,8.5,0.5381336640264508
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,9000,9.0,0.42077964567703363
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,9500,9.5,0.4747456383905285
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,10000,10.0,0.45095002065991274
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,10500,10.5,0.489945604377337
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,11000,11.0,0.45428088142819867
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,11500,11.5,0.5721607541856113
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,12000,12.0,0.5284337268192034
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,12500,12.5,0.5482606483320467
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,13000,13.0,0.5781668003334435
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,13500,13.5,0.4728139194586321
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,14000,14.0,0.507593710454015
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,14500,14.5,0.5205833204848036
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,15000,15.0,0.5985924973569208
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,15500,15.5,0.5270350761050404
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,16000,16.0,0.5956203645766979
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,16500,16.5,0.392316097614042
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,17000,17.0,0.4691664087262681
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,17500,17.5,0.5388584127489048
