group,model,varied_parameter,varied_value,a,b,tau,L,N,density,mean_velocity,std_velocity,nearby_empirical_mean_velocity
D_N_rho,HardBodyModel,N,5.0,0.36,0.56,0.61,17.3,5,0.2890173410404624,1.225982371560591,0.03001195382971469,
D_N_rho,HardBodyModel,N,10.0,0.36,0.56,0.61,17.3,10,0.5780346820809248,1.1442647878325065,0.06972714304742268,0.9440002000000002
D_N_rho,HardBodyModel,N,15.0,0.36,0.56,0.61,17.3,15,0.8670520231213873,0.8297840587390963,0.07609288227771317,0.8008068947368422
D_N_rho,HardBodyModel,N,20.0,0.36,0.56,0.61,17.3,20,1.1560693641618496,0.48690545888295567,0.05501233633043418,0.5155184074074074
D_N_rho,HardBodyModel,N,21.0,0.36,0.56,0.61,17.3,21,1.2138728323699421,0.44315356484682433,0.04745863646582406,0.4686410000000001
D_N_rho,HardBodyModel,N,25.0,0.36,0.56,0.61,17.3,25,1.445086705202312,0.3096713568830251,0.03441140377651737,0.30081332
D_N_rho,HardBodyModel,N,30.0,0.36,0.56,0.61,17.3,30,1.7341040462427746,0.19841495963787284,0.019958272823542737,0.20788450000000003
D_N_rho,HardBodyModel,N,35.0,0.36,0.56,0.61,17.3,35,2.0231213872832368,0.12132720108978706,0.012474753717273425,0.17347614285714288
D_N_rho,HardBodyModel,N,40.0,0.36,0.56,0.61,17.3,40,2.312138728323699,0.06480026779673416,0.006569096322926975,
D_N_rho,HardBodyModel,N,45.0,0.36,0.56,0.61,17.3,45,2.6011560693641615,0.021379766093703165,0.001998514057722413,
D_N_rho,HardBodyModel,N,48.0,0.36,0.56,0.61,17.3,48,2.7745664739884393,6.476523454731979e-05,6.47652345473198e-05,
