density_1_per_m,velocity_m_per_s
0.907143,0.781333
0.910000,0.877333
0.859286,0.877333
0.721429,0.893000
0.645714,0.909000
0.719286,0.926000
0.709286,0.943333
0.622857,0.961667
0.623571,0.926000
0.693571,0.926000
0.824286,0.909000
0.907143,0.943333
0.843571,0.862000
0.775714,0.943333
0.787857,0.926000
0.850000,0.893000
0.863571,0.833333
0.850714,0.819667
0.800000,0.847333
0.768571,0.862000
0.803571,0.862000
0.755000,0.909000
0.588571,0.961667
0.559286,0.961667
0.700000,0.926000
0.843571,0.893000
0.912143,0.909000
0.862143,0.877333
1.011429,0.588333
1.136429,0.561667
1.187143,0.515333
1.179286,0.471667
1.157143,0.490333
1.119286,0.526333
1.098571,0.568333
1.137143,0.568333
1.160714,0.568333
1.135000,0.595333
1.062857,0.595333
0.987143,0.602333
0.920714,0.595333
0.998571,0.581333
1.089286,0.543333
1.108571,0.537667
1.077857,0.568333
1.021429,0.625000
0.925714,0.625000
0.870714,0.602333
1.020000,0.588333
1.117143,0.532000
1.161429,0.495000
1.143571,0.454667
1.117857,0.416667
1.097143,0.467333
1.108571,0.510333
1.137857,0.510333
1.128571,0.520667
1.063571,0.510333
0.968571,0.574667
0.856429,0.633000
0.847143,0.574667
0.995000,0.595333
1.111429,0.595333
1.159286,0.588333
1.165000,0.581333
1.120714,0.581333
1.044286,0.574667
1.010714,0.609667
1.079286,0.595333
1.102143,0.549333
1.408571,0.312333
1.465714,0.296000
1.450000,0.287333
1.411429,0.264667
1.386429,0.326667
1.438571,0.314333
1.499286,0.354667
1.535714,0.367667
1.516429,0.376000
1.440000,0.373000
1.355714,0.370333
1.335714,0.362333
1.335714,0.406667
1.302143,0.387667
1.365714,0.349667
1.456429,0.352000
1.457143,0.312333
1.436429,0.260333
1.416429,0.305000
1.413571,0.335667
1.327143,0.378667
1.237857,0.384667
1.210714,0.400000
1.182143,0.376000
1.187143,0.393667
1.286429,0.373000
1.355714,0.365000
1.405714,0.354667
1.408571,0.347333
1.373571,0.326667
1.387143,0.303000
1.492143,0.331000
1.795000,0.219333
1.861429,0.230333
1.902143,0.245000
1.912857,0.261667
1.900714,0.256333
1.820000,0.257667
1.709286,0.220333
1.680000,0.200667
1.692143,0.210000
1.772143,0.221333
1.817857,0.237000
1.812857,0.251333
1.751429,0.256333
1.675000,0.212000
1.657143,0.214667
1.653571,0.203333
1.640000,0.210000
1.608571,0.224333
1.592143,0.252667
1.577857,0.252667
1.513571,0.245000
1.422857,0.268667
1.364286,0.289000
1.346429,0.279333
1.412143,0.299333
1.547143,0.261667
1.679286,0.228333
1.720714,0.229333
1.697143,0.222333
1.662857,0.200667
1.642857,0.200000
1.788571,0.193000
1.889286,0.181000
1.957143,0.194667
1.975000,0.204000
1.916429,0.187333
1.799286,0.217333
1.735000,0.217333
1.708571,0.219333
1.708571,0.228333
1.738571,0.213667
1.782143,0.211000
1.783571,0.223333
1.735000,0.212667
1.848571,0.145667
1.812857,0.155333
1.742143,0.188000
1.635714,0.201667
1.512143,0.232667
1.505714,0.231333
1.749286,0.179333
1.907143,0.179333
1.993571,0.189333
2.009286,0.161333
1.996429,0.159667
1.908571,0.164333
1.891429,0.137667
1.921429,0.137000
1.928571,0.136000
1.977143,0.151000
1.955714,0.154333
1.857857,0.202333
1.753571,0.200667
1.734286,0.171333
1.737143,0.160667
1.700714,0.148333
1.607857,0.144000
1.441429,0.110333
